# Cycle: 500, status: ACC
#     Step              Filename       index    vel
         0    005_2046_trajF.trr           3     -1
         1    005_2046_trajF.trr           2     -1
         2    005_2046_trajF.trr           1     -1
         3    005_2045_trajB.trr           0      1
         4    005_2045_trajB.trr           1      1
         5    005_2045_trajB.trr           2      1
         6    005_2045_trajB.trr           3      1
         7    005_2045_trajB.trr           4      1
         8    005_2045_trajB.trr           5      1
         9    005_2045_trajB.trr           6      1
